datetime_IST,date,time_start,time_end,hour,n_alerts,duration_sec
2026-02-28 10:25:07,2026-02-28,10:25:07,10:55:22,10,13,1815
2026-02-28 11:06:19,2026-02-28,11:06:19,11:38:43,11,16,1944
2026-02-28 12:28:41,2026-02-28,12:28:41,12:42:02,12,5,801
2026-02-28 13:08:16,2026-02-28,13:08:16,13:12:59,13,3,283
2026-02-28 14:43:08,2026-02-28,14:43:08,14:47:09,14,3,241
2026-02-28 15:50:36,2026-02-28,15:50:36,15:51:54,15,2,78
2026-02-28 16:04:11,2026-02-28,16:04:11,16:13:14,16,4,543
2026-02-28 16:33:54,2026-02-28,16:33:54,16:40:27,16,6,393
2026-02-28 16:54:14,2026-02-28,16:54:14,16:58:06,16,3,232
2026-02-28 17:09:12,2026-02-28,17:09:12,17:17:12,17,6,480
2026-02-28 17:34:57,2026-02-28,17:34:57,17:47:39,17,5,762
2026-02-28 17:57:28,2026-02-28,17:57:28,18:17:35,17,10,1207
2026-02-28 18:45:09,2026-02-28,18:45:09,18:45:09,18,1,0
2026-02-28 19:25:37,2026-02-28,19:25:37,19:25:37,19,1,0
2026-02-28 22:36:35,2026-02-28,22:36:35,22:50:56,22,7,861
2026-03-01 01:37:22,2026-03-01,01:37:22,02:12:05,1,11,2083
2026-03-01 06:15:57,2026-03-01,06:15:57,06:17:58,6,2,121
2026-03-01 06:30:35,2026-03-01,06:30:35,07:12:14,6,15,2499
2026-03-01 08:54:32,2026-03-01,08:54:32,09:03:30,8,5,538
2026-03-01 10:06:33,2026-03-01,10:06:33,10:44:47,10,14,2294
2026-03-01 12:42:15,2026-03-01,12:42:15,13:04:00,12,10,1305
2026-03-01 13:28:15,2026-03-01,13:28:15,13:46:40,13,10,1105
2026-03-01 13:55:22,2026-03-01,13:55:22,14:07:35,13,4,733
2026-03-01 21:06:39,2026-03-01,21:06:39,21:18:42,21,7,723
2026-03-01 21:29:04,2026-03-01,21:29:04,21:37:55,21,4,531
2026-03-01 22:48:00,2026-03-01,22:48:00,22:48:00,22,1,0
2026-03-02 06:55:55,2026-03-02,06:55:55,07:23:36,6,12,1661
2026-03-02 07:54:47,2026-03-02,07:54:47,08:06:54,7,6,727
2026-03-02 12:09:35,2026-03-02,12:09:35,12:12:02,12,2,147
2026-03-02 12:24:23,2026-03-02,12:24:23,12:24:23,12,1,0
2026-03-02 12:34:09,2026-03-02,12:34:09,12:50:23,12,9,974
2026-03-02 12:59:45,2026-03-02,12:59:45,13:03:32,12,3,227
2026-03-02 17:27:40,2026-03-02,17:27:40,17:37:14,17,3,574
2026-03-02 17:48:12,2026-03-02,17:48:12,17:48:12,17,1,0
2026-03-03 00:29:00,2026-03-03,00:29:00,01:07:28,0,14,2308
2026-03-03 11:06:12,2026-03-03,11:06:12,11:15:10,11,4,538
2026-03-03 11:26:09,2026-03-03,11:26:09,11:26:09,11,1,0
2026-03-03 12:30:56,2026-03-03,12:30:56,12:54:09,12,8,1393
2026-03-03 14:34:43,2026-03-03,14:34:43,14:56:39,14,10,1316
2026-03-03 15:12:01,2026-03-03,15:12:01,15:12:01,15,1,0
2026-03-03 19:55:20,2026-03-03,19:55:20,20:00:50,19,3,330
2026-03-03 20:10:02,2026-03-03,20:10:02,20:10:02,20,1,0
2026-03-03 22:34:40,2026-03-03,22:34:40,22:50:13,22,4,933
2026-03-03 23:01:01,2026-03-03,23:01:01,23:01:01,23,1,0
2026-03-03 23:16:41,2026-03-03,23:16:41,23:18:41,23,2,120
2026-03-04 05:58:30,2026-03-04,05:58:30,06:10:05,5,5,695
2026-03-04 13:25:59,2026-03-04,13:25:59,14:11:04,13,16,2705
2026-03-04 14:20:47,2026-03-04,14:20:47,14:20:47,14,1,0
2026-03-04 14:30:48,2026-03-04,14:30:48,15:00:08,14,8,1760
2026-03-04 15:34:35,2026-03-04,15:34:35,16:29:13,15,17,3278
2026-03-04 19:03:09,2026-03-04,19:03:09,19:22:07,19,7,1138
2026-03-05 02:22:46,2026-03-05,02:22:46,02:37:17,2,7,871
2026-03-05 03:08:21,2026-03-05,03:08:21,03:34:39,3,12,1578
2026-03-05 04:12:51,2026-03-05,04:12:51,04:12:51,4,1,0
2026-03-05 10:26:58,2026-03-05,10:26:58,10:31:02,10,3,244
2026-03-05 10:41:31,2026-03-05,10:41:31,10:41:31,10,1,0
2026-03-05 13:47:19,2026-03-05,13:47:19,13:55:01,13,3,462
2026-03-05 14:05:17,2026-03-05,14:05:17,14:05:17,14,1,0
2026-03-05 16:31:10,2026-03-05,16:31:10,16:35:05,16,3,235
2026-03-05 22:44:39,2026-03-05,22:44:39,23:06:38,22,7,1319
2026-03-06 10:16:53,2026-03-06,10:16:53,10:18:54,10,2,121
2026-03-06 19:16:36,2026-03-06,19:16:36,19:24:04,19,4,448
2026-03-06 20:40:21,2026-03-06,20:40:21,20:42:21,20,2,120
2026-03-06 21:56:55,2026-03-06,21:56:55,22:08:57,21,7,722
